,name,genre_name,number_of_episodes,popularity,vote_average,vote_count,overview,creator_names,poster_path
671,Dirty Jobs,Reality,162,11.394,7.419,69,Host and everyman Mike Rowe gets the grimy scoop on downright nasty occupations.,,/mVWrO9JANfiemg6u7tQmob55tsM.jpg
672,Snuff Box,Comedy,6,3.804,7.647,34,"Snuff Box is a BBC Three British dark comedy starring and written by Matt Berry and Rich Fulcher with additional material by Nick Gargano. It first aired on Monday 27 February 2006.

Both actors use their real names for their main characters. Berry plays a hangman, and Fulcher his assistant. The majority of the programme is set in a ""gentlemen's club for hangmen"", although the show is also interspersed with sequences of sketches, often featuring different characters.

Berry and Fulcher met whilst working together on another BBC Three comedy, The Mighty Boosh.

The series 1 DVD was released on 16 June 2008. On 11 October 2011, Severin Films released the series on DVD with a bonus CD of music and other exclusive extra features in the North American market.",['Rich Fulcher'],/zDw5D35cHX2P5Jy3VWLSLlAhluB.jpg
673,The Boondocks,"Action & Adventure, Comedy, Animation",55,24.958,8.096,282,"When Robert “Granddad” Freeman becomes legal guardian to his two grandsons, he moves from the tough south side of Chicago to the upscale neighborhood of Woodcrest (a.k.a. ""The Boondocks"") so he can enjoy his golden years in safety and comfort. But with Huey, a 10-year-old leftist revolutionary, and his eight-year-old misfit brother, Riley, suburbia is about to be shaken up.",['Aaron McGruder'],/vAvT2RXjOpgH0COriRm9riPqA0m.jpg
674,The Day of the Triffids,Drama,6,4.158,6.365,26,"The Day of the Triffids is a British television series which was first aired by the BBC in 1981. An adaptation by Douglas Livingstone of the 1951 novel by John Wyndham, the six half-hour episodes were produced by David Maloney and directed by Ken Hannam, with original music by Christopher Gunning.",,/pDGJW9qlHQwnhNhlj9gQReM4NVi.jpg
675,Ned and Stacey,Comedy,46,2.882,7.778,9,A self-centered ad exec and a liberal journalist enter into a marriage of convenience. He's trying to boost his business image; she likes his apartment.,['Michael J. Weithorn'],/uPU99QHFS6P7sgAfYcIKgDcr04l.jpg
676,Come Dine with Me,Reality,1289,19.649,5.3,24,"Amateur chefs compete against each other by hosting a dinner party for the other contestants. Each competitor then rates the host's performance with the winner winning a £1,000 cash prize. An element of comedy is added to the show through comedian Dave Lamb, who provides a dry and ""bitingly sarcastic"" narration.",,/enFfviWZwnIKn9DhyMa7cXqKx6Q.jpg
677,The Bill Engvall Show,Comedy,30,3.487,6.4,6,"The Bill Engvall Show is a sitcom which ran on TBS from July 17, 2007 to September 5, 2009. The series starred comedian Bill Engvall and was written and created by Engvall and Michael Leeson. The series was canceled on September 25, 2009.

On June 9, 2008, the show had a one shot airing on CBS.","['Michael J. Leeson', 'Bill Engvall']",/eTnnavruLGvse4CEs5EY69BsHTv.jpg
678,Maggie and the Ferocious Beast,Animation,117,6.423,7.4,8,"A precocious 5-year-old named Maggie conjures up an imaginary land where she and her favorite toys, Hamilton Hocks and Ferocious Beast, can play and have adventures. The Ferocious Beast is anything but ferocious, though he is large, with red spots and three horns on his head.","['Michael Paraskevas', 'Betty Paraskevas']",/AoB89jiVLlMhZNwiCFQ8g8hOhWc.jpg
679,The Tribe,"Drama, Sci-Fi & Fantasy, Kids, Family",260,18.385,7.053,19,"The Tribe is a New Zealand/British post-apocalyptic fictional TV series primarily aimed at teenagers. It is set in a near-future in which all adults have been wiped out by a deadly virus, leaving the children of the world to fend for themselves. The show's focus is on an unnamed city inhabited by tribes of children and teenagers. It was primarily filmed in and around Wellington, New Zealand.

The series was created by Raymond Thompson and Harry Duffin and was developed and produced by the Cloud 9 Screen Entertainment Group in conjunction with the UK's Channel 5. It has aired on over 40 broadcast networks around the world.",['Raymond Thompson'],/hfLYpH7XYtq4F4UtRHXP26WE1A0.jpg
680,Family Matters,Comedy,215,40.33,6.711,220,"A long-running dramedy centering on the Winslow family, a middle-class African American family living in Chicago, and their pesky next-door neighbor, ultra-nerd Steve Urkel. A spin-off of Perfect Strangers.","['William Bickley', 'Michael Warren']",/lIIPV3te2mxBQBHw2rfhwkUYsHf.jpg
681,The Two Ronnies,Comedy,101,7.601,7.7,19,"The Two Ronnies is a British sketch show which aired on BBC1 from 1971 to 1987. It featured the double act of Ronnie Barker and Ronnie Corbett, the ""Two Ronnies"" of the title.","['Ronnie Barker', 'Ronnie Corbett']",/i3EGp8IB6z9BfaEKcTGhoedPWFi.jpg
682,The Universe,Documentary,88,18.293,8.0,155,"From the planets to the stars and out to the edge of the unknown, history and science collide in a wondrous yet deadly adventure through space and time.",,/o3LhwEcm9M7B1Sq96mzCyXOtn2g.jpg
683,The Super Globetrotters,"Family, Animation",13,3.513,7.8,41,"It’s true—to the public at large they are the clown princes of the parquet, the internationally renowned sports superstars The Globetrotters. But, unbeknownst to John and Jane Q. Sportsfan, high above the Earth orbits the Globetrotter Crime Globe, a different kind of ""eye in the sky."" Whenever and wherever the Crime Globe detects dastardly doings, the call goes out to the Globetrotters—Nate Branch, Liquid Man, Freddie 'Curly' Neal, Super Sphere, James 'Twiggy' Sanders, Spaghetti Man, Louis 'Sweet Lou' Dunbar, Gizmo, and Hubert 'Geese' Ausbie, and Multi Man—and they quickly ditch the b-ball court for crime-fighting.","['Joseph Barbera', 'William Hanna']",/9KRsLEJxPP2K5PG83ww8CT45LFO.jpg
684,The Centurions,"Animation, Kids",65,8.043,7.313,32,"Centurions is a syndicated 30 minute American science fiction animated television series produced by Ruby-Spears and animated in Japan by Sunrise. Comic book legends Jack Kirby and Gil Kane contributed to the design and concepts of the show.

The series began in 1986 as a five-part miniseries and was followed with a 60 episode series. The series was story edited by Ted Pedersen and written by several authors, including prolific science fiction writers Michael Reaves, Marc Scott Zicree, Larry DiTillio and Gerry Conway. The series theme and soundtrack were composed by Udi Harpaz. There was also a line of tie-in toys by Kenner, and a comic book series by DC Comics.",['Ruby-Spears'],/88Krf0EuJL7FXbN5oIWJdQob4Vg.jpg
685,The O.C.,Drama,92,47.988,7.801,653,"Ryan Atwood, a teen from the wrong side of the tracks, moves in with a wealthy family willing to give him a chance. But Ryan's arrival disturbs the status quo of the affluent, privileged community of Newport Beach, California.",['Josh Schwartz'],/xDc6BMGDaeyalpSZ9KKk7RCBCz5.jpg
686,Neighbours,Soap,8903,23.097,6.525,40,"Neighbours is an Australian television soap opera.  The show's storylines concern the domestic and professional lives of the people who live and work in Erinsborough, a fictional suburb of Melbourne, Victoria. The series primarily centres around the residents of Ramsay Street, a short cul-de-sac, and its neighbouring areas, the Lassiters complex, which includes a bar, hotel, cafe, news office and park. Neighbours began with three families created by Watson – the Ramsays, the Robinsons and the Clarkes. Watson said that he wanted to show three families who are friends living in a small street. The Robinsons and the Ramsays had a long history and were involved in an ongoing rivalry.",['Reg Watson'],/qwDeDAF1ACwffkpxY8bCZo1pjdj.jpg
687,That '80s Show,Comedy,13,4.391,5.737,19,"That '80s Show is an American sitcom that aired from January through May 2002. Despite having a similar name, show structure, and many of the same writers and production staff, it is not considered a direct spin-off of the more successful That '70s Show. The characters and storylines from both shows never crossed paths. It was a separate decade-based show created because of That '70s Show's popularity at the time.

The show was set in 1984 and revolved around the lives of a group of friends living in San Diego, California. It debuted January 23, 2002, and the final episode aired May 29, 2002. Its regular time slot was on Wednesday nights at 8:00/7:00 Central on the Fox Network, although a few shows were aired on different nights. Its main time slot competitors were ABC's My Wife and Kids, CBS's 60 Minutes II, and NBC's Ed. All 13 episodes, which were filmed at CBS Studio Center, aired at least once.","['Bonnie Turner', 'Terry Turner', 'Linda Wallem', 'Mark Brazill']",/pJystH07NoFmL4g2FLlsfrY1sKb.jpg
688,Two and a Half Men,"Comedy, Drama",262,185.797,7.445,2677,A hedonistic jingle writer's free-wheeling life comes to an abrupt halt when his brother and 10-year-old nephew move into his beach-front house.,"['Chuck Lorre', 'Lee Aronsohn']",/A9QDK4OWpv41W27kCv0LXe30k9S.jpg
689,My Wife and Kids,"Comedy, Family",123,28.525,7.429,372,"Michael Kyle is a loving husband and modern-day patriarch who rules his household with a unique and distinct parenting style. As he teaches his three children some of life's lessons, he does so with his own brand of humor.","['Damon Wayans', 'Don Reo']",/eyQsN8bU27fdIs2D66gFmcIo0dM.jpg
690,Takin' Over the Asylum,"Comedy, Drama",6,4.054,7.8,9,A salesman starts to run a hospital radio station inside a facility for people with mental heath needs.,['Donna Franceschild'],/y8jjCpykDbgyz98K54uRWIZmEo1.jpg
691,Brainiac: Science Abuse,"Documentary, Comedy",59,5.63,6.6,33,Brainiac is The Alternative science series that shows you the experiments you were never allowed to do in school. Richard Hammond aims to answer the scientific questions that have been bothering us all such as what you shouldn't put in a microwave and Do mobile phones really cause explosions in petrol stations.,"['Stewart Morris', 'Andy Milligan']",/vWCwlz5XdVkYwwplqImx7VXp6iQ.jpg
692,Step by Step,Comedy,160,37.132,7.84,343,"Step by Step is an American television sitcom with two single parents, who spontaneously get married after meeting one another during a vacation, resulting in them becoming the heads of a large blended family","['William Bickley', 'Michael Warren']",/4XMxYOxNvxEkfxUKhs8AoGBQiVD.jpg
693,Profiler,"Crime, Drama",83,12.72,6.913,52,"Profiler is an American crime drama that aired on NBC from 1996 to 2000. The series follows the exploits of a criminal profiler working with the FBI's fictional Violent Crimes Task Force based in Atlanta, Georgia.

Ally Walker starred as profiler Dr. Samantha Waters during the first three seasons, and was later replaced by Jamie Luner as profiler Dr. Rachel Burke during the show's final season. Robert Davi, Roma Maffia, Peter Frechette, Erica Gimpel and Julian McMahon co-starred throughout the show's run. Caitlin Wachs played Dr. Waters daughter for the first two seasons, a role taken over by Evan Rachel Wood in 1998.

Profiler shares a similar lead character and premise with the Fox Network series Millennium, created by Chris Carter. Both shows premiered at the beginning of the 1996–97 television season.",,/rZPFS2CRMZOy2LV4hE64KBxAbGg.jpg
694,"Herbie, the Love Bug","Comedy, Family",5,1.372,5.6,5,"Herbie the Matchmaker, also known as Herbie, The Love Bug, is a short-lived situation comedy that aired on CBS in the spring of 1982. The series is based on Walt Disney Productions' popular Herbie film series, about a Volkswagen Beetle with a mind of its own. It was cancelled after five episodes and, for the next fifteen years, would mark Herbie's last new appearance in either television or film; Herbie would next return to television in the 1997 film The Love Bug.",,/8p54gmgTTnRn5RxUnGGxIYYhmQ3.jpg
695,The Little Mermaid,"Family, Animation, Kids",31,29.228,7.0,658,"Disney's The Little Mermaid is an American animated television series produced by Walt Disney Television Animation based on the 1989 Disney film of the same name. It features the adventures of Ariel as a mermaid prior to the events of the film. This series is the first Disney television series to be spun off from a major animated film. Some of the voice actors of the film reprise their roles in the series, among them Jodi Benson as Ariel, Samuel E. Wright as Sebastian, Kenneth Mars as King Triton, and Pat Carroll as Ursula.",,/behIhyn2QMpudx3h82RZbGGRtKP.jpg
696,Three's Company,Comedy,171,20.118,7.917,127,"The three single roommates Janet Wood, Chrissy Snow and Jack Tripper all platonically share Apartment 201 in a Santa Monica, California apartment building owned by Mr. and Mrs. Roper.","['Brian Cooke', 'Johnnie Mortimer']",/kvnolCAcN1yfPReVFIsxGceXdLS.jpg
697,Secret Army,Drama,43,7.694,7.571,7,"World War II drama about covert organisation Lifeline helping allied airmen escape after being shot down in occupied Europe, working with the Resistance and hiding from the Gestapo.",['Gerard Glaister'],/xf1eqEBfXDH7a8b7jmi0cucCiOD.jpg
698,Off Centre,"Comedy, Drama",28,4.38,8.182,11,"Off Centre is an American sitcom that aired on The WB network from October 14, 2001 to October 31, 2002. Created by Chris Weitz, Paul Weitz, and Danny Zuker, the series was heavily promoted as ""from the guys who brought you American Pie"".","['Chris Weitz', 'Paul Weitz', 'Danny Zuker']",/imDCSdyfz4X1M1mwCQn5BDVRCea.jpg
699,Sapphire & Steel,"Drama, Sci-Fi & Fantasy",34,5.348,7.765,16,"Sapphire & Steel is a British television science-fiction fantasy series starring David McCallum as Steel and Joanna Lumley as Sapphire. Produced by ATV, it ran from 1979 to 1982 on the ITV network. The series was created by Peter J. Hammond who conceived the programme under the working title The Time Menders, after a stay in an allegedly haunted castle. Hammond also wrote all the stories except for the fifth, which was co-written by Don Houghton and Anthony Read.

In 2004, Sapphire and Steel returned in a series of audio dramas starring David Warner and Susannah Harker.",['Peter Hammond'],/6wWM8yP4TmQX60BC42iaak5g6b7.jpg
700,Homefront,Drama,42,2.81,5.0,6,"Homefront is an American television drama series created and produced by Lynn Marie Latham and Bernard Lechowick in association with Warner Bros. Television for ABC. The show was set in the fictional city of River Run, Ohio in 1945, 1946, and 1947. The show's theme song, ""Accentuate the Positive"", was written by Johnny Mercer and performed by Jack Sheldon.

Forty-two episodes were broadcast in the United States over two seasons from 1991 to 1993. TV Guide, Abigail Van Buren, and fans showed determination in getting ABC to continue the show for a third season before it was cancelled.","['Lynn Marie Latham', 'Bernard Lechowick']",/nnegntuxoYwVJX82PI0RJkMf39z.jpg
701,Law & Order: Special Victims Unit,"Crime, Drama, Mystery",538,389.414,7.97,3264,"In the criminal justice system, sexually-based offenses are considered especially heinous. In New York City, the dedicated detectives who investigate these vicious felonies are members of an elite squad known as the Special Victims Unit. These are their stories.",['Dick Wolf'],/ywBt4WKADdMVgxTR1rS2uFwMYTH.jpg
702,The Vicar of Dibley,Comedy,14,10.359,7.39,68,"Reverend Granger is assigned as the Vicar of the rural parish of Dibley, but she is not quite what the villagers expected.","['Richard Curtis', 'Paul Mayhew-Archer']",/pjPgg5AkcoXXGr4qqXTlPc3tPJ8.jpg
703,Tom Goes to the Mayor,"Animation, Comedy",30,5.146,6.958,24,"Tom Goes to the Mayor is an American animated television series created by Tim Heidecker and Eric Wareheim for Cartoon Network's late night programming block, Adult Swim. It premiered on November 14, 2004 and ended on September 25, 2006, with a total of thirty episodes.","['Tim Heidecker', 'Eric Wareheim']",/jECzaCRzJdR24jfKs5Bcn346Do5.jpg
704,Border Security: Australia's Front Line,Documentary,212,4.507,7.0,5,"Border Security: Australia's Front Line is an Australian television program that airs on the Seven Network. The show follows the work of officers of Australian Customs and Border Protection, the Australian Quarantine and Inspection Service, and the Department of Immigration and Citizenship as they enforce Australian customs, quarantine, immigration and finance laws.

Most of the programme is filmed at Sydney and Melbourne airports. Occasionally, the program features other locations such as Brisbane Airport, Perth Airport, seaports, international mail centres, raids on workplaces suspected of employing persons contrary to the restrictions of their visa or immigrant status and the work of Customs vessels and aircraft in the waters of Northern Australia.",,/Af1CXSUwUpjTjalk7qDOJ5zF4I1.jpg
705,Aladdin,"Action & Adventure, Animation, Comedy, Sci-Fi & Fantasy, Kids",86,20.936,6.9,293,"Aladdin is an animated television series made by Walt Disney Television which aired from 1994 to 1995, based on the original 1992 feature. It was animated at the Slightly Offbeat Productions Studios in Penrose, Auckland, New Zealand. Coming on the heels of the direct-to-video sequel The Return of Jafar, the series picked up where that installment left off, with Aladdin now living in the palace, engaged to beautiful and spunky Princess Jasmine. ""Al"" and Jasmine went together into peril among sorcerers, monsters, thieves, and more. Monkey sidekick Abu, the animated Magic Carpet, and the fast-talking, shape-shifting Genie came along to help, as did sassy, complaining parrot Iago, formerly Jafar’s pet but now an antihero. Jafar, having previously been destroyed in the second movie, returns in only one episode which also serves as a crossover with Hercules: The Animated Series.",,/nlaiczW81kY46GBdfIcTrBIqr8I.jpg
706,The Day Today,Comedy,6,4.063,8.3,38,"The Day Today is a surreal British parody of television current affairs programmes, broadcast in 1994, and created by the comedians Armando Iannucci and Chris Morris. It is an adaptation of the radio programme On the Hour, which was broadcast on BBC Radio 4 between 1991 and 1992. On the Hour was written by Morris, Iannucci, Steven Wells, Andrew Glover, Stewart Lee, Richard Herring, David Quantick, and the cast. For The Day Today, Peter Baynham joined the writing team, and Lee and Herring were replaced by Graham Linehan and Arthur Mathews. The principal cast of On the Hour was retained for The Day Today.

The Day Today is composed of six half-hour episodes and a selection of shorter, five-minute slots recorded as promotion trailers for the longer segments. The six half-hour episodes were originally broadcast from 19 January to 23 February 1994 on BBC2. The Day Today has won many awards, including Morris winning the 1994 British Comedy Award for Best Newcomer. All six episodes are available on BBC DVD, having previously been issued on VHS.","['Armando Iannucci', 'Chris Morris']",/5WInvNvWunCktJgs8gLGndjfO0A.jpg
707,Sons of Thunder,Drama,6,3.759,9.8,5,"Sons of Thunder is a television show that ran from March to April 1999 on CBS. It was a spin-off of Walker, Texas Ranger.","['Aaron Norris', 'Chuck Norris']",/mOsgmLU3T0VtBbBXtDUfDqiKokg.jpg
708,Space Ghost Coast to Coast,"Animation, Comedy",115,16.044,8.0,74,A cartoon superhero interacts with live guests via his television set in this parody talk show based on 1960s Hanna-Barbera cartoon character Space Ghost.,"['Mike Lazzo', 'Alex Toth', 'Khaki Jones']",/6MJisX8mwCaccNTTftp8z6uTanF.jpg
709,It's Always Sunny in Philadelphia,Comedy,162,62.218,8.276,861,"Four egocentric friends run a neighborhood Irish pub in Philadelphia and try to find their way through the adult world of work and relationships. Unfortunately, their warped views and precarious judgments often lead them to trouble, creating a myriad of uncomfortable situations that usually only get worse before they get better.",['Rob McElhenney'],/wcx6UpgShkHEACLzxZGGvR2GBNB.jpg
710,I Love Lucy,Comedy,180,28.115,8.059,178,"Cuban Bandleader Ricky Ricardo would be happy if his wife Lucy would just be a housewife. Instead she tries constantly to perform at the Tropicana where he works, and make life comically frantic in the apartment building they share with landlords Fred and Ethel Mertz, who also happen to be their best friends.","['Bob Carroll Jr.', 'Madelyn Pugh', 'Jess Oppenheimer']",/mPUSrFTvQqwEqTtfukxJBtkbxWj.jpg
711,The New Alfred Hitchcock Presents,"Drama, Mystery",76,16.536,7.274,42,"The New Alfred Hitchcock Presents is an American anthology series that aired on NBC from 1985 to 1986, and on the USA Network from 1987 to 1989. The series is an updated re-imagining of the classic 1955 series Alfred Hitchcock Presents.",['Alfred Hitchcock'],/mCJgmCdMZRArcP3pOg6cZ6OpxpV.jpg
712,The Untouchables,"Drama, Crime",118,21.53,7.779,104,"The Untouchables is an American crime drama that ran from 1959 to 1963 on ABC. Based on the memoir of the same name by Eliot Ness and Oscar Fraley, it fictionalized Ness' experiences as a Prohibition agent, fighting crime in Chicago in the 1930s with the help of a special team of agents handpicked for their courage and incorruptibility, nicknamed the Untouchables. The book was later made into a film in 1987 by Brian De Palma, with a script by David Mamet, and a second less successful TV series in 1993.

A powerful, hard-hitting crime drama, The Untouchables won series star Robert Stack an Emmy Award for Best Actor in a Dramatic Series in 1960 .",,/80IDXgaHmcxj6CKRImkpHjnIMcd.jpg
713,The Catherine Tate Show,Comedy,20,4.183,6.7,25,"The Catherine Tate Show is a British television sketch comedy written by Catherine Tate and Aschlin Ditta. Tate also stars in all but one of the show's sketches, which feature a wide range of characters. The Catherine Tate Show airs on BBC Two and is shown worldwide through the BBC. Collectively, the show has been nominated for six BAFTA Awards, two British Comedy Awards and an Emmy Award, and it has won two Royal Television Society Awards, two British Comedy Awards and a National Television Award since its debut in 2004.","['Catherine Tate', 'Derren Litten']",/p9pMxpL2nQeZGVh4t0VL4eNqswF.jpg
714,Coupling,Comedy,28,13.437,7.9,235,"Six friends in their thirties navigate dating, sexual adventures,  and mishaps on their quest to find love.",['Steven Moffat'],/dWfEw2YPrpKwHxH2K9SloCcMrnI.jpg
715,The Likely Lads,Comedy,20,1.303,7.2,9,"The Likely Lads was a black and white British sitcom created and written by Dick Clement and Ian La Frenais, and produced by Dick Clement. Twenty-one episodes were broadcast by the BBC, in three series, between 16 December 1964 and 23 July 1966. However, only eight of these shows have survived.",,/yxHzFAreUiNUdDxppoTIGCCH4t7.jpg
716,Flight of the Conchords,Comedy,22,12.951,7.832,277,"The trials and tribulations of a two man, digi-folk band who have moved from New Zealand to New York in the hope of forging a successful music career. So far they've managed to find a manager (whose ""other"" job is at the New Zealand Consulate), one fan (a married obsessive) and one friend (who owns the local pawn shop) -- but not much else.","['Jemaine Clement', 'James Bobin', 'Bret McKenzie']",/ynboK8qiOTz0X44r59LpfF8jBP5.jpg
717,The Good Life,Comedy,28,6.087,7.484,31,"The Good Life is a British sitcom produced by the BBC that ran from 1975 to 1978. It was written by Bob Larbey and John Esmonde. In 2004, it came 9th in Britain's Best Sitcom. In the United States, it aired on various PBS stations under the title Good Neighbors.",['Esmonde and Larbey'],/ll4SdFLqWCK2Ss2mYSAN6zJCzxZ.jpg
718,Wheel of Fortune,"Family, Reality",2157,16.279,6.8,59,"This game show sees contestants solve word puzzles, similar to those used in Hangman, to win cash and prizes determined by spinning a giant carnival wheel.",['Merv Griffin'],/uLeaT6wL40Ig0waKlwyxW5NMlwM.jpg
719,Donkey Kong Country,"Animation, Action & Adventure, Comedy, Sci-Fi & Fantasy",40,4.948,6.0,12,"Taking place on Kongo Bongo Island, the show focuses on Donkey Kong, the island's resident hero. Before the series' events, he was chosen as the island's future ruler by a magical artifact known as the Crystal Coconut, which is connected to a spirit known as Inka Dinka Doo. In the present, Donkey Kong must prove he deserves the role through his heroics and by simply guarding the coconut.

Alongside various allies such as his best friend and sidekick Diddy Kong and his mentor Cranky Kong, he must protect the Crystal Coconut from various threats, most notably the villainous King K. Rool and his Kremling army who long to steal it in order to rule Kongo Bongo. Oftentimes, Donkey Kong has to juggle his guardian duties with his social life, his relationship with Candy Kong, and his love of gorging on bananas.","['Nadine Van der Velde', 'Erika Strobel']",/dPctx2MdVcY3CQ2OUbSs1aEy069.jpg
720,Action,Comedy,13,1.205,6.9,14,"Follow the life of Peter Dragon, an egotistic Hollywood movie producer who has built his career on the three pillars of sleazy show business - prostitution, nepotism and dishonesty.",['Chris Thompson'],/xTIohs08xedCORLIgOCDOZSpwVy.jpg
721,The State,Comedy,24,2.745,6.818,11,The State is a sketch-comedy television show combing bizarre characters and scenarios to present sketches that won the hearts of its target teenaged audience.,,/w53sr36aEbsnXgh4ftWP5pc9XFm.jpg
722,That Mitchell and Webb Look,Comedy,24,5.859,7.811,74,"That Mitchell and Webb Look is a British television sketch show starring David Mitchell and Robert Webb. Shown on BBC Two since 2006, its first two series were directed by David Kerr, who also directed Mitchell and Webb's previous television sketch show The Mitchell and Webb Situation, whereas series 3 and 4 are directed by Ben Gosling Fuller. As well as Mitchell and Webb themselves, the writers include Jesse Armstrong, James Bachman, Sam Bain, Mark Evans, Olivia Colman, Toby Davies, Chris Pell, Jonathan Dryden Taylor, Joel Morris, Jason Hazeley, Simon Kane, John Finnemore and others. It is produced by Gareth Edwards. Colman, Bachman, and Evans were also members of the cast alongside Abigail Burdess, Gus Brown, Sarah Hadland and Paterson Joseph.","['Robert Webb', 'David Mitchell']",/b1VtW1KcWoQGZByWQIgPetquTzs.jpg
723,Jason King,Action & Adventure,26,5.803,8.0,6,"Jason King - a suavely sophisticated former secret agent turned novelist - travels the world searching for material to fill his books, encountering an endless parade of glamorous women, exotic locales, menacing villains and daring intrigue! Before Austin Powers swung into action, Jason King set the standard for the hip crime-fighting international playboy! ","['Monty Berman', 'Dennis Spooner']",/3anonshv6ymnq7ksS7qFE3Foh4O.jpg
724,The New Adventures of He-Man,Animation,65,7.473,5.7,6,"The New Adventures of He-Man is an animated series which ran in syndication in the fall of 1990 while Mattel released the toy line He-Man, an update of their successful Masters of the Universe line. The cartoon series was intended to be a continuation of Filmation's He-Man and the Masters of the Universe series.",['Donald F. Glut'],/sIE84ED9Vb29TGbtCQT6sBVefvg.jpg
725,Waterloo Road,Drama,200,25.771,7.217,23,"Waterloo Road is a UK television drama series the first broadcast was in the United Kingdom on BBC One on 9 March 2006. Originally set in a troubled comprehensive school in Rochdale, England, the location of the show was moved to the former Greenock Academy in Greenock, Scotland in 2012. The series focuses on the lives of the school's teachers and students, and confronts social issues such as extramarital affairs, abortion, divorce, child abuse, and suicide.

Waterloo Road is produced by Shed Productions, the company responsible for Bad Girls and Footballers' Wives.","['Ann McManus', 'Maureen Chadwick']",/mLwS1TDAyffGSAcppkrs5ymoJYo.jpg
726,Soul Food,Drama,74,4.432,6.3,5,"Soul Food: The Series is a television drama that aired Wednesday nights on Showtime from June 28, 2000 to May 26, 2004. Created by filmmaker George Tillman, Jr. and developed for television by Felicia D. Henderson, Soul Food is based upon Tillman's childhood experiences growing up in Wisconsin, and is a continuation of his successful 1997 film of the same name. Having aired for 74 episodes, it is the longest running drama with a predominantly black cast in the history of North American prime-time television.",,/pHfIP0C5F0Vh5th9ru3mxhC0Zqc.jpg
727,Totally Spies!,"Animation, Kids, Comedy, Drama, Action & Adventure",156,53.833,7.3,169,"Totally Spies! depicts three girlfriends 'with an attitude' who have to cope with their daily lives at high school as well as the unpredictable pressures of international espionage. They confront the most intimidating - and demented - of villains, each with their own special agenda for demonic, global rude behavior.","['David Michel', 'Vincent Chalvon-Demersay']",/zvEit6c2zC2PosXROb85jZwb0gx.jpg
728,Felicity,Drama,84,23.7,6.574,61,"Felicity Porter, a sensitive and intelligent girl from the San Francisco Bay Area, decides to give up a slot at Stanford University's pre-med program to follow her long time crush to college in New York City. Things get even more complicated when she meets her dorm's resident advisor and they fall in love.","['J.J. Abrams', 'Matt Reeves']",/i6gZ7fVpLBK3l5FkxCzMtEtT7Bz.jpg
729,The Crystal Maze,,82,6.978,7.5,20,"The Crystal Maze was a British game show, produced by Chatsworth Television and shown on Channel 4 in the United Kingdom between 15 February 1990 and 10 August 1995. The series is set in ""The Crystal Maze"", which features four different ""zones"" set in various periods of time and space. A team of six contestants take part in a series of challenges in order to win ""time crystals"". Each crystal gives the team five seconds of time inside ""The Crystal Dome"", the centrepiece of the maze where the contestants take part in their final challenge.","['Jacques Antoine', 'Adam Howarth']",/tIEfOS0gDDnchkhT7P7zGBHK1o9.jpg
730,Empty Nest,"Family, Comedy",170,8.893,5.833,18,"Widowed pediatrician Harry Weston is a miracle worker when it comes to dealing with his young patients, but he's more challenged by the other people surrounding him: daughters Barbara and Carol; his wisecracking office assistant, nurse LaVerne Todd; and obnoxious neighborhood mooch Charley Dietz. Thank goodness he always finds a friendly shoulder (and a warm, wet tongue) in Dreyfuss, his enormous dog.",['Susan Harris'],/99I4RHS7Vh9dPrYhKyYp2i1lOcn.jpg
731,The Adventures of Pete & Pete,"Drama, Comedy",38,6.839,7.3,28,"The Adventures of Pete & Pete is an American children's television series produced by Wellsville Pictures and broadcast by Nickelodeon. The show featured humorous and surreal elements in its narrative, and many recurring themes centered on two brothers both named Pete Wrigley, and their various interactions with family, friends, and enemies.

The show was created by Will McRobb and Chris Viscardi and began as minute-long shorts in 1989 that aired in between regular programs. Owing to the popularity of the shorts, five half-hour specials were made, followed by a regular half-hour series that ran for three seasons and continued in reruns until around 1999. The N aired reruns of the show between 2002–2003. The first two seasons were released on DVD in 2005; the third was planned for 2006 but was indefinitely postponed.

Jason Ankeny of Allmusic called the series ""the greatest children's show ever,"" while IGN called it ""One of the most well-written kids shows ever.""","['Will McRobb', 'Chris Viscardi']",/kWg499OrdZlnW6V0L38XsORvYnu.jpg
732,Return of the Saint,Action & Adventure,24,2.913,6.6,5,"Follow the swashbuckling exploits of Simon Templar, a modern-day Robin Hood of sorts.",['Leslie Charteris'],/xLvyW7eciPHJ0h0Yy9GpgncTEY8.jpg
733,Earth: Final Conflict,"Sci-Fi & Fantasy, Drama, Action & Adventure, Mystery",110,29.268,6.946,65,"Years ago, the Taelons came to Earth, offering friendship and technology to humanity. But there are those who believe the Taelons have more sinister motives.","['Gene Roddenberry', 'Majel Barrett']",/xOcw7r57ppfPHdaTIauMnE64Npz.jpg
734,Fraggle Rock: The Animated Series,"Family, Animation",25,3.728,6.976,21,Fraggle Rock: The Animated Series is an American animated television series based on the original live action version of the same name created by Jim Henson. NBC aired this spin-off program on Saturday mornings for one season during 1987.,,/Atisvr4630sLFs1Iy9Lx1kPNmAd.jpg
